pickup_time,dropoff_time,id_taxi,pickup_long,pickup_lat,dropoff_long,dropoff_lat,distance,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,payment_type,passengers
1/7/13 18:45,1/7/13 18:52,0CC08DE5645A7137059499EA11886805,-73.97970600000001,40.758427000000005,-73.985558,40.747265000000006,0.9,6.5,1.0,0.5,0.0,0.0,CSH,3
1/7/13 18:45,1/7/13 19:00,47CFD616C057758044C57D1B4BEFE759,-73.977676,40.746544,-73.99945799999999,40.738972,1.9,10.5,1.0,0.5,0.0,0.0,CSH,1
1/7/13 18:48,1/7/13 18:56,C28DA92FB1D60B9EBFB7EFA6AE6C4577,-73.998337,40.746025,-73.981255,40.747223,1.2,7.0,1.0,0.5,0.0,0.0,CSH,1
1/7/13 19:28,1/7/13 19:37,F1C59489D7073DD8F1838DD0E905F47D,-73.99514,40.754845,-74.00518000000001,40.728896999999996,1.9,8.5,1.0,0.5,0.0,0.0,CSH,2
1/7/13 19:41,1/7/13 19:46,8C019CD008A70CC21058D22CF873E42E,-73.99069200000001,40.718311,-73.979843,40.739082,1.6,7.0,1.0,0.5,0.0,0.0,CSH,1
1/7/13 20:13,1/7/13 20:25,1836E1591EE79F810104064B945747AB,-74.007469,40.708904,-73.981888,40.67767,3.6,13.0,0.5,0.5,0.0,0.0,CSH,1
1/7/13 20:44,1/7/13 20:46,B4B73C7B5D426BF5D77586628774409D,-73.988838,40.723125,-73.99382,40.721088,0.4,4.0,0.5,0.5,0.0,0.0,CSH,1
1/7/13 20:46,1/7/13 21:06,0C5296F3C8B16E702F8F2E06F5106552,-73.864861,40.770428,-74.006653,40.707874,12.3,34.0,0.5,0.5,0.0,0.0,CSH,1
1/7/13 20:48,1/7/13 21:02,877AAB787A0BCD95781E7DA0770CCB1D,-73.97345,40.763560999999996,-74.008682,40.730442,3.2,12.5,0.5,0.5,0.0,0.0,CSH,1
1/7/13 20:49,1/7/13 21:11,4C005EEBAA7BF26B84B21586332488A2,-73.874374,40.774078,-73.978325,40.764835,9.5,28.5,0.5,0.5,0.0,4.8,CSH,2
1/7/13 21:13,1/7/13 21:22,4C005EEBAA7BF26B84B21586332488A2,-73.978439,40.764679,-73.977684,40.777004,1.1,8.0,0.5,0.5,0.0,0.0,CSH,1
1/7/13 21:58,1/7/13 22:08,4C005EEBAA7BF26B84B21586332488A2,-73.987099,40.755215,-73.974457,40.755589,2.0,9.0,0.5,0.5,0.0,0.0,CSH,3
1/7/13 22:09,1/7/13 22:19,4C005EEBAA7BF26B84B21586332488A2,-73.973732,40.756287,-73.998413,40.756832,1.7,9.0,0.5,0.5,0.0,0.0,CSH,1
1/7/13 22:21,1/7/13 22:38,590D90160BD7C2673D47DBF107B10B3E,-73.99568199999999,40.679161,-73.991219,40.733498,4.5,16.5,0.5,0.5,0.0,0.0,CSH,1
1/7/13 22:25,1/7/13 22:36,0C5296F3C8B16E702F8F2E06F5106552,-73.989708,40.756714,-73.977615,40.787575,2.3,10.5,0.5,0.5,0.0,0.0,CSH,1
1/7/13 22:35,1/7/13 22:59,38CA8BCB4180F32BEDE6FE085F4E445E,-73.79001600000001,40.644058,-73.956703,40.747852,16.1,44.5,0.5,0.5,0.0,0.0,CSH,1
1/7/13 22:39,1/7/13 22:44,0C5296F3C8B16E702F8F2E06F5106552,-73.97865300000001,40.787735,-73.96579,40.805321,1.5,7.0,0.5,0.5,0.0,0.0,CSH,1
1/7/13 23:25,1/7/13 23:34,DFD2202EE08F7A8DC9A57B02ACB81FE2,-73.97625,40.748528,-74.002586,40.747868,2.1,9.5,0.5,0.5,0.0,0.0,CSH,1
1/7/13 23:54,1/7/13 23:58,DFD2202EE08F7A8DC9A57B02ACB81FE2,-73.974602,40.759945,-73.984734,40.759388,0.7,5.0,0.5,0.5,0.0,0.0,CSH,2
1/8/13 0:02,1/8/13 0:05,7D99C30FCE69B1A9DD27E2AEAC9BFA0C,-73.985573,40.747375,-73.983879,40.739222999999996,0.7,4.5,0.5,0.5,0.0,0.0,CSH,1
1/8/13 0:30,1/8/13 0:45,50296A056AF5D221536DC98ABB1E3274,-73.99481999999999,40.743815999999995,-73.954865,40.820244,6.7,21.0,0.5,0.5,0.0,0.0,CSH,1
